text,label
"I am so happy and excited today!",happy
"What a wonderful surprise — I didn't expect that!",surprise
"I feel so sad and down.",sad
"This makes me furious and angry!",angry
"I am terrified of what might happen next.",fear
"I adore everything about this place.",love
"I'm really disappointed with the results.",sad
"That was hilarious, I couldn't stop laughing!",happy
"My heart is full of love for you",love
"I'm scared and nervous about the interview",fear
"Why would they do that? I'm so mad",angry
"What a pleasant surprise, thanks!",surprise
"I feel lonely and depressed today.",sad
"This accomplishment makes me joyful and happy",happy
"I can't stand this anymore, I'm furious",angry
"I am anxious about the outcome",fear
"I cherish our time together",love
"I'm stunned — that news shocked me!",surprise
"He disappointed me; I feel sad",sad
"She's my favorite person",love
"This is so frustrating and irritating",angry
"I'm feeling ecstatic and joyful",happy
"The thought of it scares me, I'm afraid",fear
"What a sweet message — I love it",love
"I'm heartbroken and sad",sad
"I couldn't be happier right now",happy
"That sudden noise startled me",surprise
"He's enraged and yelling",angry
"I dread that call, I'm so nervous",fear
"The kindness made me feel loved",love
"I sobbed all night, I was devastated and sad",sad
"I'm beaming with joy, so happy",happy
"Such an unexpected gift — what a surprise",surprise
"It makes me angry that they lied",angry
"I have butterflies in my stomach, I'm nervous",fear
"I feel deep affection for my family",love
